sites,direct_t_scf,direct_10nodes_t_scf,fmm_t_scf,fmm_10nodes_t_scf,direct_t_lr,direct_10nodes_t_lr,fmm_t_lr,fmm_10nodes_t_lr
1440,90.765,20.269,104.525,25.273,87.59,18,101.96,41.22
4083,196.346,26.133,184.188,34.134,158.99,23.09,160.98,50.41
8805,383.409,63.472,406.288,59.58,312.24,67.81,314.02,71.23
16203,766.563,92.41,680.752,86.661,733.16,117.27,556.67,97.81
26883,1490.23,175.89,1136.259,135.257,2266.66,252.49,947.22,147.41
41448,3040.975,358.485,1882.847,245.385,4894.38,619.47,1227.29,227.98
60498,5204.507,559.428,2516.463,314.119,11305.98,1178.92,2049.72,339.4
84636,9192.281,1022.452,3629.005,410.92,22711.65,2540.2,2777.4,405.75
114465,14757.786,1648.553,4425.269,554.144,36053.28,4041.84,3500.59,494.16
150585,25990.054,2823.562,6696.57,748.858,61619.71,7388.09,4791.28,659.71
193596,46240.669,5026.661,8559.808,1036.577,99367.62,14531.49,6437.67,895.63
